JT,Escape,EscapeTime,Ejection,JT_Clone,Clone
435778,out,3491400000.222429,3491700000.123319,435778_Clone_5,clone-5
437295,in,3518800000.132729,3518800000.132729,437295_Clone_5,clone-5
438507,out,2385600000.194469,2389500000.092232,438507_Clone_5,clone-5
437754,in,3160100000.279559,3160100000.279559,437754_Clone_5,clone-5
437312,in,3490200000.2234716,3490200000.2234716,437312_Clone_5,clone-5
437288,in,1948300000.2118754,1948300000.2118754,437288_Clone_5,clone-5
437308,out,3300900000.289055,3302900000.1555176,437308_Clone_5,clone-5
439731,out,1844800000.005229,1845200000.1366816,439731_Clone_5,clone-5
454257,in,296200000.36190265,296200000.36190265,454257_Clone_5,clone-5
442173,out,3412600000.027278,3418600000.022066,442173_Clone_5,clone-5
437283,in,4101900000.1863756,4101900000.1863756,437283_Clone_5,clone-5
437314,out,3730700000.377014,3730900000.0473404,437314_Clone_5,clone-5
467743,out,404000000.2023634,404800000.0698685,467743_Clone_5,clone-5
453230,in,1750100000.3181393,1750100000.3181393,453230_Clone_5,clone-5
465284,in,634000000.2661767,634000000.2661767,465284_Clone_5,clone-5
461843,in,1610200000.0113118,1610200000.0113118,461843_Clone_5,clone-5
455524,out,764600000.0868324,764700000.3173956,455524_Clone_5,clone-5
467635,in,4010100000.068417,4010100000.068417,467635_Clone_5,clone-5
465658,in,3384400000.2494736,3384400000.2494736,465658_Clone_5,clone-5
468001,out,330700000.03538454,331000000.33167404,468001_Clone_5,clone-5
468694,in,1161700000.302046,1161700000.302046,468694_Clone_5,clone-5
467926,out,2194900000.195369,2195300000.3268213,467926_Clone_5,clone-5
468700,in,1087800000.3332882,1087800000.3332882,468700_Clone_5,clone-5
481744,in,898400000.1683086,898400000.1683086,481744_Clone_5,clone-5
471904,in,805000000.3153392,805000000.3153392,471904_Clone_5,clone-5
474042,in,3441800000.1337137,3441800000.1337137,474042_Clone_5,clone-5
482465,out,1430600000.2991192,1430600000.2991192,482465_Clone_5,clone-5
503262,out,31900000.22481903,32000000.048676275,503262_Clone_5,clone-5
484549,in,67600000.19194782,67600000.19194782,484549_Clone_5,clone-5
491282,out,181200000.2344194,182200000.0169056,491282_Clone_5,clone-5
510505,in,866700000.2287946,866700000.2287946,510505_Clone_5,clone-5
490775,out,967800000.0421252,967900000.2726883,490775_Clone_5,clone-5
491358,in,161100000.01980692,161100000.01980692,491358_Clone_5,clone-5
486039,out,2299200000.26952,2299300000.104683,486039_Clone_5,clone-5
489951,in,332200000.3306316,332200000.3306316,489951_Clone_5,clone-5
511564,in,4024100000.319856,4024100000.319856,511564_Clone_5,clone-5
483018,out,2653600000.0934744,2653900000.389764,483018_Clone_5,clone-5
487570,in,344600000.05626047,344600000.05626047,487570_Clone_5,clone-5
483649,out,1544700000.0352573,1544800000.2658207,483649_Clone_5,clone-5
484231,in,2878700000.326294,2878700000.326294,484231_Clone_5,clone-5
485220,out,732000000.04925,732100000.2798133,485220_Clone_5,clone-5
510503,in,3633800000.362335,3633800000.362335,510503_Clone_5,clone-5
511045,out,460400000.15337217,461000000.35055095,511045_Clone_5,clone-5
484540,in,514200000.04073936,514200000.04073936,484540_Clone_5,clone-5
512933,out,1089900000.0349145,1090200000.3312037,512933_Clone_5,clone-5
490014,out,1458200000.2751448,1458300000.110308,490014_Clone_5,clone-5
484566,out,739400000.1087222,739700000.0096115,484566_Clone_5,clone-5
487552,in,2422900000.3927197,2422900000.3927197,487552_Clone_5,clone-5
491994,in,216400000.16961345,216400000.16961345,491994_Clone_5,clone-5
509140,out,2473200000.1183767,2473300000.34894,509140_Clone_5,clone-5
487447,in,2066900000.0429547,2066900000.0429547,487447_Clone_5,clone-5
511582,in,1409800000.185387,1409800000.185387,511582_Clone_5,clone-5
491875,out,2607200000.2655787,2607300000.1007423,491875_Clone_5,clone-5
483652,in,1224200000.0830061,1224200000.0830061,483652_Clone_5,clone-5
513500,out,2229700000.1651397,2229900000.2308664,513500_Clone_5,clone-5
486690,out,1175200000.1914694,1175700000.1580849,486690_Clone_5,clone-5
494961,in,1676500000.250271,1676500000.250271,494961_Clone_5,clone-5
510591,out,1299700000.182174,1299800000.0173366,510591_Clone_5,clone-5
512938,out,3510100000.2391357,3510200000.074299,512938_Clone_5,clone-5
485423,out,1495700000.1437206,1495800000.374284,485423_Clone_5,clone-5
486675,out,1186700000.21443,1186800000.0495932,486675_Clone_5,clone-5
485417,in,3122100000.0489674,3122100000.0489674,485417_Clone_5,clone-5
500784,in,4176600000.0226383,4176600000.0226383,500784_Clone_5,clone-5
487571,in,2588400000.0183096,2588400000.0183096,487571_Clone_5,clone-5
490785,in,3475100000.203638,3475100000.203638,490785_Clone_5,clone-5
485431,out,3508200000.207836,3508300000.043,485431_Clone_5,clone-5
