date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,39285,-0.0080075722,0.000000001,-0.0018386757000000001,3.12202149E-09,-0.0006296406,9.40513583E-10,-1.1161235617,1.8934372E-06,4.5564551943,5.53498223E-07,0.3916496837,7.2635779E-07
 A.D. 2000-Jan-01 00:00:00.0000,39795,-0.007961626099999999,1.11617276E-09,-0.0018942117,0.000000003,-0.0004612869,1.11885554E-09,-1.4017157740000001,1.85064273E-06,4.496960491399999,6.32807957E-07,0.4714452793,8.28828247E-07
 A.D. 2000-Jan-01 00:00:00.0000,43212,-0.0073741256000000015,9.33482404E-10,-0.0029925736,2.22342699E-09,-0.00032779440000000004,8.48715448E-10,-1.7868040177000002,1.49511842E-06,4.569801557,6.93908391E-07,-0.5176812368,7.59727842E-07
 A.D. 2000-Jan-01 00:00:00.0000,43436,-0.0073271946,7.37224346E-10,0.0013549932000000002,1.82369009E-09,0.0007616251,9.35427384E-10,0.9291285236,1.31147254E-06,5.1467851606,5.70907862E-07,-0.5449785954,0.00000068
 A.D. 2000-Jan-01 00:00:00.0000,53469,-0.007783167099999998,6.11216475E-10,9.24794149756059e-06,2.62352829E-09,0.0002056462,8.44855458E-10,-0.2712229629,1.84131638E-06,4.9436034902,4.06762324E-07,0.6331030256,9.49471441E-07
 A.D. 2000-Jan-01 00:00:00.0000,65150,-0.0079735004,6.78245114E-10,0.0006918139999999999,2.73691387E-09,-0.0002320009,9.3491995E-10,0.5793179214,1.81837437E-06,4.8555689449,4.51175065E-07,-0.616856541,8.07226946E-07
 A.D. 2000-Jan-01 00:00:00.0000,65225,-0.0072976527,1.5194225E-09,-0.0027744142,3.24718913E-09,-5.6307e-05,1.16974E-09,-2.1131721343,2.29131629E-06,4.5450838637999995,9.32103947E-07,-0.6128851757,9.51813158E-07
 A.D. 2000-Jan-01 00:00:00.0000,88229,-0.0073575264,7.80182996E-10,0.0006381881,2.50191797E-09,0.0011109222,1.10312541E-09,0.5092339535,1.6911436E-06,5.2688056111,6.00907153E-07,-0.19088488239999998,7.58237408E-07
 A.D. 2000-Jan-01 00:00:00.0000,101405,-0.007755158299999999,7.04162001E-10,0.0006316015,3.34699134E-09,-0.0007644997,0.000000001,0.1535599346,2.21291316E-06,5.0185503452999995,4.29273151E-07,-0.3178756254,6.95235784E-07
 A.D. 2000-Jan-01 00:00:00.0000,111805,-0.0080322672,9.3490319E-10,0.0016065125,0.000000003,0.0009148565,1.05977545E-09,0.7803431348000001,1.93675063E-06,4.666059745,6.06412164E-07,-0.4606198286,7.41801971E-07
 A.D. 2000-Jan-01 00:00:00.0000,127846,-0.0074389756000000015,7.75555144E-10,-0.0008903274,3.83567797E-09,-0.0008120180000000001,8.14080199E-10,-0.8634908575,2.74152541E-06,5.1745762958,5.43073329E-07,-0.0271120204,8.99825582E-07
 A.D. 2000-Jan-01 00:00:00.0000,160661,-0.007407209699999999,1.43190448E-09,-0.0027001046000000003,3.55925443E-09,-0.0008505996,1.55981861E-09,-2.0317229949,2.38475724E-06,4.5327620068,1.12762458E-06,0.0728346876,1.03687232E-06
 A.D. 2000-Jan-01 00:00:00.0000,160856,-0.0066852162,1.93771117E-09,-0.0035942091999999998,3.24169118E-09,3.2269999999999998e-06,9.22712192E-10,-2.8282788108999997,2.35821492E-06,4.2561299472000025,1.33132291E-06,0.6841874256,8.66534405E-07
 A.D. 2000-Jan-01 00:00:00.0000,163135,-0.0077511457,6.80262172E-10,0.0008481528,2.94945479E-09,-0.0002484446,8.43121609E-10,0.6445405399,1.87237852E-06,4.9184252294999995,4.67406017E-07,0.5646820677000001,7.40783263E-07
 A.D. 2000-Jan-01 00:00:00.0000,163189,-0.0073829626,1.86943776E-09,-0.003003977,0.000000004,-0.0003263285,1.18288817E-09,-2.2160105959,0.00000268,4.3086962676,1.1855533E-06,0.5495229788,8.53449691E-07
 A.D. 2000-Jan-01 00:00:00.0000,163216,-0.0068201926,1.26915683E-09,-0.0031163613,2.59496762E-09,-0.0004647145,9.18559732E-10,-2.3557179652,1.92307488E-06,4.607874217,9.37838813E-07,0.5074939609,9.55091452E-07
 A.D. 2000-Jan-01 00:00:00.0000,166211,-0.0070605442,1.33211398E-09,-0.0027946455,3.2819793E-09,0.0006997880999999999,1.09391393E-09,-1.9070377492,0.000002194,4.726023079,9.37590109E-07,-0.5390879927000001,7.50510897E-07
 A.D. 2000-Jan-01 00:00:00.0000,191088,-0.007738060600000002,5.76718877E-10,-0.0004234477,0.000000003,0.0005083564,0.000000001,-0.6834345216,2.2050821E-06,5.0113904859,4.18714454E-07,-0.6144208193,7.72804945E-07
 A.D. 2000-Jan-01 00:00:00.0000,191116,-0.0083228183,7.75524819E-10,-0.0007148153,3.30738322E-09,0.000543922,1.08290291E-09,-0.3992220941,2.0045244E-06,4.5707453174,4.51067974E-07,-0.5853249489,0.000000683
 A.D. 2000-Jan-01 00:00:00.0000,192388,-0.0078083261,1.15740716E-09,-0.0021908453,4.09297054E-09,5.36728261577136e-05,1.10466858E-09,-1.387945056,2.66653226E-06,4.6149824102,8.7326898E-07,-0.6055614864,8.88055536E-07
 A.D. 2000-Jan-01 00:00:00.0000,192929,-0.0072869397,1.56323031E-09,-0.0033316265999999996,2.76916423E-09,0.0011974328,9.2614687E-10,-2.1281104766,1.71688565E-06,4.3600087,8.6470553E-07,0.1715686981,7.39867401E-07
 A.D. 2000-Jan-01 00:00:00.0000,195287,-0.0070181406,1.26282069E-09,-0.0024377761,0.000000003,0.0006475035,1.06469425E-09,-1.9508757582,2.09369519E-06,4.8119077322,0.000000827,-0.5604273118,1.01307209E-06
 A.D. 2000-Jan-01 00:00:00.0000,195312,-0.0072065340000000006,1.15936063E-09,-0.0020284182,2.93573883E-09,0.0007812778,7.68513638E-10,-1.6366885804,2.01285167E-06,4.922710571600001,6.36624654E-07,-0.4750351934000001,7.70603822E-07
 A.D. 2000-Jan-01 00:00:00.0000,195412,-0.0081655752,8.60512655E-10,-0.0007386455000000001,5.15557863E-09,-0.0008751929,1.12442915E-09,-0.6036940219,3.07110093E-06,4.6509394306,5.26076709E-07,0.0094265592,7.70391543E-07
 A.D. 2000-Jan-01 00:00:00.0000,200024,-0.006877327700000001,2.18724871E-09,-0.003521359000000001,4.06851924E-09,7.34032647360233e-05,1.05050693E-09,-2.6822128694,2.82952888E-06,4.2958951308,1.6205636E-06,-0.6146118377,9.98429526E-07
 A.D. 2000-Jan-01 00:00:00.0000,200032,-0.0063993897,2.69024242E-09,-0.0038898948,4.60811005E-09,-0.000750748,1.09753173E-09,-2.9961529107,3.27830736E-06,4.2711512601,2.19123797E-06,-0.2274109495,0.000001159
 A.D. 2000-Jan-01 00:00:00.0000,210237,-0.006233965,2.1208821E-09,-0.0039429758,3.51416089E-09,2.51322894350278e-05,9.15376761E-10,-3.0717319130000003,2.47711574E-06,4.3168196537,0.000001677,-0.6396877809,9.43122654E-07
 A.D. 2000-Jan-01 00:00:00.0000,214376,-0.007563049699999999,6.66779997E-10,-0.00024443830000000003,3.06803468E-09,0.0005794652,0.000000001,-0.5056821042,2.22329795E-06,5.1436785403,4.66770025E-07,-0.5983833556,7.43123236E-07
 A.D. 2000-Jan-01 00:00:00.0000,219835,-0.0080921573,1.11156156E-09,0.0018003147,3.35625468E-09,-0.0001565469,1.15674828E-09,1.1616906497,2.05638474E-06,4.5200801661000005,0.000000728,0.5266346425,9.76465807E-07
 A.D. 2000-Jan-01 00:00:00.0000,221786,-0.0075369405,1.26832614E-09,0.0012758543,4.05969516E-09,0.0001513753,1.11031985E-09,0.9540217729000001,2.90621862E-06,5.0019444748,5.76936786E-07,-0.7028210302,9.33611357E-07
